model,mape,mape_train,mae,mae_train,mse,mse_train,r2,r2_train
LR,0.8443427706516906,0.5916848540035367,9.518426240575916,8.883802577570691,146.89335006994133,134.60292576279406,0.2131122618707164,0.391330050713783
SVR,1.097315149265323,0.8796539246842227,11.106208752170723,11.174951483713954,192.38999396971784,218.13359681434184,-0.030607084129102846,0.013607137005448244
KNN,1.144602542939908,0.8035032341763741,11.952762923351159,10.665993265993265,208.45527467185224,184.77341087644118,-0.11666661227040698,0.16446078723578683
DT,0.9211678938772138,0.06142603176827763,11.715686274509803,0.0,243.81372549019608,0.0,-0.30607703401485264,1.0
RF,0.6011247491301202,0.17357439317118178,8.331666666666667,3.3788888888888886,110.41812647058823,19.964807160493827,0.4085050838207148,0.9097198066608011
XGB,0.6840604682107739,0.05947556827845954,9.530789272457946,0.10923074940104543,142.77405809220605,0.024576166360775437,0.23517874987382126,0.9998888673938721
LGBM,0.6214145377415703,0.23074383492262124,8.420229257663195,3.88431016833485,118.47084784670486,25.70760093157373,0.3653677484245199,0.8837510844090698
Catboost,0.6590163014137681,0.10600317830144805,8.74204897632791,2.1629947903273763,117.5113223262535,7.319532674394712,0.3705077963988208,0.9669013169180747
LCE,0.6177274312740799,0.189621799295031,8.529851874300078,3.3266044419930303,119.57731550167085,19.816684427412177,0.35944055138044095,0.9103896127287007
TabNet,0.7253029358931139,0.4718248385150619,8.34291820900113,7.952424360204626,131.17489078595617,104.98058646069009,0.29731391474991864,0.5252812828922333
MLP,0.9113322633980805,0.7382642004953814,10.169630692331884,10.373808257965607,155.65760981404668,182.6801706681174,0.16616331201605716,0.17392634977258925
